Tanggal,Gerai,Harga Jual (Rp),Jumlah Terjual (Unit),Pendapatan Kotor (Rp),Biaya Variabel (Rp),Fixed Cost Harian (Rp),Balance (Rp)
2026-02-27,Gerai E,15000,216,3240000,1360800,800000,1079200
2026-02-28,Gerai E,15000,272,4080000,1713600,800000,1566400
2026-03-01,Gerai E,15000,270,4050000,1701000,800000,1549000
2026-03-02,Gerai E,15000,253,3795000,1593900,800000,1401100
2026-03-03,Gerai E,15000,246,3690000,1549800,800000,1340200
2026-03-04,Gerai E,15000,271,4065000,1707300,800000,1557700
2026-03-05,Gerai E,15000,268,4020000,1688400,800000,1531600
2026-03-06,Gerai E,15000,260,3900000,1638000,800000,1462000
2026-03-07,Gerai E,15000,305,4575000,1921500,800000,1853500
2026-03-08,Gerai E,15000,324,4860000,2041200,800000,2018800
2026-03-09,Gerai E,15000,263,3945000,1656900,800000,1488100
2026-03-10,Gerai E,15000,269,4035000,1694700,800000,1540300
2026-03-11,Gerai E,15000,240,3600000,1512000,800000,1288000
2026-03-12,Gerai E,15000,272,4080000,1713600,800000,1566400
2026-03-13,Gerai E,15000,269,4035000,1694700,800000,1540300
2026-03-14,Gerai E,15000,298,4470000,1877400,800000,1792600
2026-03-15,Gerai E,15000,300,4500000,1890000,800000,1810000
2026-03-16,Gerai E,15000,273,4095000,1719900,800000,1575100
2026-03-17,Gerai E,15000,260,3900000,1638000,800000,1462000
2026-03-18,Gerai E,15000,263,3945000,1656900,800000,1488100
2026-03-19,Gerai E,15000,251,3765000,1581300,800000,1383700
2026-03-20,Gerai E,15000,258,3870000,1625400,800000,1444600
2026-03-21,Gerai E,15000,332,4980000,2091600,800000,2088400
2026-03-22,Gerai E,15000,320,4800000,2016000,800000,1984000
2026-03-23,Gerai E,15000,254,3810000,1600200,800000,1409800
2026-03-24,Gerai E,15000,268,4020000,1688400,800000,1531600
2026-03-25,Gerai E,15000,259,3885000,1631700,800000,1453300
2026-03-26,Gerai E,15000,235,3525000,1480500,800000,1244500
2026-03-27,Gerai E,15000,268,4020000,1688400,800000,1531600
2026-03-28,Gerai E,15000,305,4575000,1921500,800000,1853500
2026-03-29,Gerai E,15000,314,4710000,1978200,800000,1931800
2026-03-30,Gerai E,15000,241,3615000,1518300,800000,1296700
2026-03-31,Gerai E,15000,273,4095000,1719900,800000,1575100
